           1  0.215999991    
           2  0.152409583    
           3  0.116262816    
           4   9.24711898E-02
           5   7.55282417E-02
           6   6.28413558E-02
           7   5.30030876E-02
           8   4.51743826E-02
           9   3.88202891E-02
          10   3.35819460E-02
          11   2.92087793E-02
          12   2.55200639E-02
          13   2.23819111E-02
          14   1.96928661E-02
          15   1.73745509E-02
          16   1.53654078E-02
          17   1.36163803E-02
          18   1.20878769E-02
          19   1.07475836E-02
          20   9.56886541E-03
          21   8.52957182E-03
          22   7.61113595E-03
          23   6.79788599E-03
          24   6.07650727E-03
          25   5.43562463E-03
          26   4.86547034E-03
          27   4.35761781E-03
          28   3.90476617E-03
          29   3.50056705E-03
          30   3.13948188E-03
          31   2.81666289E-03
          32   2.52785627E-03
          33   2.26931949E-03
          34   2.03775265E-03
          35   1.83024001E-03
          36   1.64420123E-03
          37   1.47734804E-03
          38   1.32764888E-03
          39   1.19329756E-03
          40   1.07268617E-03
          41   9.64381965E-04
          42   8.67106719E-04
